Manga_ID,Title,Score,Reach_Members,Loyalty_Favourites,Synopsis,Background,Comic Mag,Genres
93699,Innocent Rouge,8.39,35651,1052,"The eve of the French Revolution, 1772— The eldest brother of the Sanson family, Charles-Henri, has grown as an executioner, while his sister, Marie-Joseph, has been living freely in Versailles. But one day, Marie-Joseph's first love, a man named Alain, is killed by aristocrats...! This history of innocents plunges into the arc of the crimson revolution, Rouge—!!","Innocent Rouge has been published in English by Dark Horse as 3-in-1 omnibus volumes since October 21, 2025 The series has been published in French by Editions Delcourt since April 26, 2017 and in Italian by Edizioni BD since May 18, 2017.",Grand Jump,"Award Winning, Drama"
94376,Yuru Camp△,8.39,21959,1014,"Setting up a tent, starting a fire, and eating noodles with Mt. Fuji in view...Rin and Nadeshiko absolutely love to camp! Enjoy their zest for travel and maybe even pick up a tip or two about roughing it in the great outdoors. You might just want to go camping yourself!

(Source: Yen Press)","Yuru Camp△ has been published in English as Laid-Back Camp by Yen Press since March 27, 2018. It has also been published in Polish by Dango since February 5, 2019.",Manga Time Kirara Forward,Slice of Life
419,Nodame Cantabile,8.39,29841,893,"Shinichi Chiaki, the perfectionist son of a famous pianist, is in his fourth year at Momogaoka College of Music, hoping to achieve his secret dream of being a conductor. His admiration for his father led him to pursue a career in music. As much as he wants to return to Europe, his phobia of flying traps him in Japan where he now lives.

One night, he passes out, and ends up being taken in by Megumi ""Nodame"" Noda. Upon first glance, Nodame is a talented pianist, but she is also slobbish and eccentric. What's even worse is that she is his neighbor and he ends up forced to work with her. Though it sounds like a recipe for disaster, Chiaki is drawn to this girl who makes him remember the love for music he once held. Just what does the future hold for this musical duo?

[Written by MAL Rewrite]","Nodame Cantabile has been adapted as three different television series: an award-winning live-action drama that aired in 2006, followed by a sequel television special that aired in January 2008, and as an anime series spanning three seasons with the first one broadcast in 2007. In 2014, it received a South Korean drama adaptation titled Cantabile Tomorrow. The series was published in English by Del Rey Manga; in France by Pika; and in Spain by Norma Editorial. Kodansha has taken up the English license, and published the series digitally from July 26, 2016 to June 27, 2017. The last two volumes, titled Nodame Cantabile: Encore Opera-hen, contain a sequel to the main series.",Kiss,"Award Winning, Comedy, Romance, Slice of Life"
99314,Kimi no Na wa.,8.39,97285,1643,"Mitsuha Miyamizu is a high school girl living in the countryside town of Itomori. She yearns for a life in Tokyo, as she is sick of living in the countryside. At the same time, Taki Tachibana, a high school student, lives in Tokyo and has a great interest in architecture, aiming to become an urban planner in the near future.

One day, Mitsuha dreams of herself as a boy living a life in the dense capital, while Taki dreams of living as a girl in the rural town of Itomori. As time passes by, the two discover that these are not just dreams, but that they actually swap bodies upon falling asleep! Kimi no Na wa. revolves around Mitsuha and Taki as they experience the supernatural. With both of them working together to deal with the strange phenomenon, how will this impact their everyday life?

[Written by MAL Rewrite]","Kimi no Na wa. was published in English as Your Name. by Yen Press from June 20, 2017, to April 10, 2018. It was also released in Brazilian Portuguese by Editora JBC from August 2017 to January 2018.",Comic Alive,Drama
165876,Houkago Kitaku Biyori,8.38,10751,297,"Shun is invited to join the Going-Home Club by Naoki Satou (aka Naoki-chan). Despite trying to refuse, he is strong-armed into accepting the invitation! This is a romantic comedy about a girl who can't help but take detours and a boy looking for purpose in life.

(Source: Futabasha, translated)",,Manga Action,Romance
144011,Kimi no Yoru ni Fureru,8.38,7357,264,"Chinatsu and his older brother, Fuyuki, have been trained by their father to become professional assassins for their whole lives. However, Fuyuki is slain as a result of Chinatsu failing at his first job. Chinatsu is discovered by a blind boy who lends him a shoulder to cry on.

The trauma still haunts Chinatsu five years later, and he is unable to kill any of his targets as a result. While waiting around the streets, he recovers a stolen object owned by Kasumi, the blind boy he had met back then. As a token of gratitude, Kasumi invites the assassin to his home that is located in a traditional Japanese inn. Chinatsu learns that the boy sees himself as a burden to his family due to his disability.

Despite being complete strangers, Kasumi feels a connection with Chinatsu and asks him to be his friend, to which the assassin readily agrees. But Chinatsu discovers more from being around Kasumi's kindhearted nature, and he realizes he may have found a way through the darkness of his life: a light worth protecting amidst the abyss.

[Written by MAL Rewrite]","Kimi no Yoru ni Fureru was published digitally in English as Touch within the Abyss by Shu-Cream through MangaPlaza. The volume was published by Tokyopop under the LoveLove imprint on March 25, 2025. It was published in Polish by Dango on August 22, 2023.",from RED,"Boys Love, Drama"
26728,No.6,8.38,22830,986,"The year is 2013 in the city of No. 6, the city that embodies the highest ideals of humankind. Shion has been raised here as a high-ranking elite since the age of two, but on the night of his twelfth birthday his fate is turned upside-down when he meets a boy who calls himself Nezumi.

""Why did I open the window that night? If I had not, I'd never have needed to know what it is like to fight, starve, or suffer in anguish....""

(Source: Nostalgia on 9th Avenue)",No.6 has been published in Brazil by NewPOP since July 2015.,N/A,"Action, Mystery, Sci-Fi"
8586,The Breaker,8.38,150135,6165,"Yi ""Shioon"" Shi-Woon's everyday life at Nine Dragons High School—which consists of beatings from fellow student Ho Chang and his gang—is far from ideal. But one day, a mysterious man named Han Chun Woo spots one of these beatings and instead of offering support, brands Shioon a coward for refusing to fight back, adding insult to injury. To Shioon's surprise, he finds out that Chun Woo is the new substitute English teacher at his school.

Tired of the daily abuse, Shioon decides to enroll at a martial arts academy to learn how to defend himself. On the way there, he stumbles upon Chun Woo in a predicament—cornered in an alley by a group of angry men! Provoked, Chun Woo suddenly dispatches them using martial arts techniques, which Shioon covertly records. Later, he uses this recording to blackmail Chun Woo into teaching him to defend himself. Reluctantly, Chun Woo agrees, and Shioon is soon thrust into the world of martial arts, known as Murim. However, Shioon is naive and unaware of his master's shady past and the unseen underbelly of society. How will Chun Woo manage to teach Shioon and help him survive in the world of Murim?

[Written by MAL Rewrite]","The Breaker has been published in English by Ablaze as 2-in-1 omnibus volumes since June 30, 2021, and was published in Polish by Yumegari from February 2013 to January 2015.",Young Champ,"Action, Comedy, Drama"
6164,My Girl,8.38,36396,828,"Twenty-three-year-old Masamune Kazama spends his days working a mundane office job and dwelling on the past. Although it has been five years, the young bachelor continues to hold onto his relationship with his past girlfriend, Youko Tsukamoto.

Out of the blue, he receives a call from Youko's mother, who informs him that she has passed away in an accident. Furthermore, he learns that Youko has left him with a young daughter, who was raised in secrecy overseas. Stricken with grief, Masamune decides to take in the young girl and raise her on his own.

My Girl is a tale of family, loss, and acceptance as Masamune navigates the complexities of daily life as a single father.

[Written by MAL Rewrite]","My Girl was adapted to a live-action drama which aired from October 9 to December 11, 2009. The series was published in Spanish by Kibook Ediciones.",Comic Bunch,"Drama, Slice of Life"
3082,Nichijou,8.38,44952,1949,"Daily lives of high school students may seem a commonplace concept, but that certainly does not apply to the trio at Tokisadame High. For Yuuko Aioi and her two eccentric friends, every day is a unique experience. From stumbling across a wrestling match between the principal and a deer to indulging in a chopstick battle over a sausage—the excitement never ends.

One day, their lives take a turn for the bizarre when they encounter an insecure robot maid, her young excitable creator, and their down-to-earth talking cat. To the people in the world of Nichijou, daily life continues to be an endless roller coaster!

[Written by MAL Rewrite]

Included one-shot:
Volume 2: Nichijou no Prototype (2 chapters)","Nichijou ended with its 10th volume released on December 10, 2015; following a six-year hiatus, the series continued serialization starting from October 26, 2021. The first 10 volumes of the series were published in English by Vertical Inc. under the Vertical Comics imprint from March 29, 2016, to September 19, 2017. Kodansha Comics USA has released the subsequent volumes since August 29, 2023. The series has also been released in German by Egmont Manga since May 8, 2023.",Shounen Ace,Comedy
48621,Koe no Katachi,8.38,63242,710,"Elementary school student Shouya Ishida is creeped out when Shouko Nishimiya, a meek girl born with impaired hearing, transfers into his class. Following her arrival, Shouya and his friends begin to torment Shouko, making her the hapless target of ridicule and assault. The constant bullying turns school into a living hell for Shouko, where even the teachers remain indifferent to the situation.

Koe no Katachi tells the heartbreaking story of Shouko falling victim to bullying, but also one of hope, remorse, and redemption.

[Written by MAL Rewrite]","Although Koe no Katachi won the 80th Weekly Shounen Magazine Newbie Best Mangaka Award in 2008, its content made it difficult for publication in any manga magazine. It was published—after months of legal dispute—in the February issue of Bessatsu Shounen Magazine in 2011, where it got first place in the questionnaires. As a result, Yoshitoki Ooima's debut became the manga version of Mardock Scramble. The one-shot was re-published in the 12th issue of the 2013 Weekly Shounen Magazine.",Bessatsu Shounen Magazine,Drama
33031,Imawa no Kuni no Alice,8.38,94085,3811,"Feeling unsettled about the future, high school student Ryouhei Arisu often escapes the reality of life. After hanging out at a bar, Arisu and his best friends, Daikichi Karube and Chouta Segawa, wait for the first train to arrive in the morning. Suddenly, a colorful array of fireworks set off in the sky, and an enormous blinding firework renders them unconscious.

The trio finds themselves back at the bar covered in dust, discovering that the city has become a barren wasteland. But instead of being worried, Arisu feels alive for the very first time in his life and relishes the freedom of this lifeless city. However, his bliss is cut short when the group rashly enters a festival venue. Seeing its delicacies and lively ambiance, they think the place is a dream; unbeknownst to them, it will be the setting for their first deadly game.

Together with his friends, Arisu slowly enters the mysterious area known as the Borderland—an unknown country where every game puts their lives at stake, and a single misstep can lead to their demise.

[Written by MAL Rewrite]","Imawa no Kuni no Alice was first serialized on Shokugakan's Shounen Sunday S from November 25, 2010 to March 25, 2015. The serialization was moved to Weekly Shounen Sunday on April 8, 2015 and ended on March 2, 2016. The manga also received a live-action adaptation with eight episodes directed by Shinsuke Satou and produced by Netflix. The series was published in English as Alice in Borderland by VIZ Media under the VIZ Signature imprint as 2-in-1 omnibus volumes from March 15, 2022 to March 19, 2024.",Shounen Sunday Super,"Action, Horror, Supernatural, Suspense"
166372,Love Bullet,8.37,15817,434,"One fateful day, Koharu is saved from an untimely end and reborn as a Cupid. Her mission: bring love to humans and earn a second chance at life. But modern problems call for modern solutions, and the Cupids of today have traded in their outdated bows and arrows for high-velocity firearms! Koharu's happy to dutifully help others find love, but her eccentric mentors don't play by the book and will happily turn an argument over a love triangle into a battlefield of tactical matchmaking action!!

(Source: Yen Press)","Love Bullet has been published in English by Yen Press since December 9, 2025.",Comic Flapper,"Action, Drama, Girls Love, Supernatural"
166372,Love Bullet,8.37,15817,434,"One fateful day, Koharu is saved from an untimely end and reborn as a Cupid. Her mission: bring love to humans and earn a second chance at life. But modern problems call for modern solutions, and the Cupids of today have traded in their outdated bows and arrows for high-velocity firearms! Koharu's happy to dutifully help others find love, but her eccentric mentors don't play by the book and will happily turn an argument over a love triangle into a battlefield of tactical matchmaking action!!

(Source: Yen Press)","Love Bullet has been published in English by Yen Press since December 9, 2025.",Comic Flapper,"Action, Drama, Girls Love, Supernatural"
154587,Pick Me Up,8.37,36127,777,"1-Star heroes are just fodder for learning a boss' attack patterns. That was Seojin Han's philosophy when playing the notoriously difficult game Pick Me Up. But after being transported into the game as one of those 1-star heroes, he's got no choice but to rise in rank and defeat the player controlling him and his party. Can a gacha game character hope to defeat a player akin to being his god?

(Source: Tapas Media)","Pick Me Up is originally a webtoon series that has been published in book format by A.Tempo Media since November 6, 2025. It has been published digitally in English by Tapas Media since March 6, 2024.",KakaoPage,"Action, Fantasy"
152024,"Bungou Stray Dogs: Dazai, Chuuya, Juugosai",8.37,3101,80,"Yokohama's Suribachi district is a lawless zone swarming with all kinds of people. To protect each other, a group of teenagers created a self-defense organization called Sheep, with 15-year-old Chuuya Nakahara as their ""King."" Thanks to Chuuya's powerful ability to control gravity, few dare oppose the Sheep.

However, worrying news spread around Suribachi: the Port Mafia's deceased leader has been witnessed roaming around. His successor, Ougai Mori, sends his protege Osamu Dazai to uncover the truth. While investigating, Dazai runs into Chuuya, and a fight erupts between the two. But before Chuuya can deal the final blow, the Port Mafia captures him.

Mori offers Chuuya a deal: if the teenager helps unravel the mystery behind his predecessor's alleged resurrection, the Port Mafia will not harm any of Sheep's members. Backed into a corner, Chuuya reluctantly accepts. As he and Dazai are paired together, they must overcome their disdain for each other to save Yokohama. Unfortunately, the appearance of Arahabaki, the ""God of Calamity,"" threatens to hinder their plans.

[Written by MAL Rewrite]","Bungou Stray Dogs: Dazai, Chuuya, Juugosai was published in English as Bungo Stray Dogs: Dazai, Chuuya, Age Fifteen by Yen Press from December 12, 2023, to September 23, 2025.",Shounen Ace,"Action, Supernatural"
147585,Sensou Kyoushitsu,8.37,15180,210,"In Arboral Year 1294, the world is dominated by nine massive towers known as the Spires, remnants of an ancient civilization. Filled with lost secrets and powerful knowledge, nations struggle to possess them. Luca is a bugler in a mercenary company who wants nothing more than to leave the battlefield behind and become a true musician, a maestro. But marked as one of the enigmatic Branch-hexed, and gifted with the strange ability to see the sound of his instrument, Luca finds himself drawn reluctantly into a war of epic proportions!

(Source: VIZ Media)","Sensou Kyoushitsu has been published in English as The Bugle Call: Song of War by VIZ Media under the Shonen Jump imprint since June 3, 2025. It has also been published in Italian by Panini Comics since June 20, 2024.",Jump SQ.,"Action, Fantasy"
121781,Shousetsu Kimi no Na wa.,8.37,10423,162,"Frustrated with her mundane high school life in the town of Itomori, Mitsuha Miyamizu has longed to live as a boy in the Tokyo metropolis. One day, the fantasy she has always dreamed of comes true—awakening in a boy's body and experiencing the thrills of the city. Meanwhile, high school student Taki Tachibana finds himself waking up as a girl living in a lakeside town by the mountains, the complete opposite of the Tokyo life that he is familiar with.

As Mitsuha and Taki discover they are living the lives of one another in their dreams, the two begin working together to adjust to this new reality. Little do they know, their fragile relationship soon prompts the pair to search for each other in fierce defiance of the thin thread of fate that connects them.

[Written by MAL Rewrite]","Shousetsu Kimi no Na wa. was published in English as Your Name. by Yen Press on May 23, 2017. It was also released in Brazilian Portuguese by Verus Editora on October 2, 2018.",N/A,Drama
120616,Urasekai Picnic,8.37,4579,187,"Her first encounter with Toriko Nishina was on the Otherside after seeing ""that thing"" and nearly dying. Ever since that day, exhausted university student Sorawo Kamikoshi's life changed. In this Otherworld, full of mystery, which exists alongside our own, dangerous beings like the Kunekune and Hasshaku-sama that are spoken of in real ghost stories appear. For research, for profit, and to find an important person, Toriko and Sorawo set foot into the abnormal. A tale of two girls' bizarre exploration and survival, brought to you by an up-and-coming sci-fi author!

(Source: J-Novel Club)","Urasekai Picnic has been published digitally in English as Otherside Picnic by J-Novel Club since September 23, 2019, and in print since December 1, 2020.",N/A,"Adventure, Fantasy, Mystery, Suspense"
16081,Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch,8.37,18460,289,"Ever since she was young, Eva Ushiromiya has worked tirelessly to prove herself as the ideal successor to the Ushiromiya family headship. Despite facing endless discrimination as a woman, she is determined to overcome the odds and surpass her older brother Krauss, who is set to inherit the position by way of birthright.

An opportunity to realize her dream comes at the annual conference on the island of Rokkenjima. With the announcement of the epitaph's riddle, Eva believes that finding the hidden gold will force the rest of the family members to acknowledge her. However, as the adults of the Ushiromiya family decipher the puzzle, a string of unexplained murders ensues, forewarning the unfortunate fate that awaits them in the end.

Meanwhile, the game board between the Golden Witch Beatrice and Battler Ushiromiya commences once more—bringing new yet unlikely accomplices to participate in the duel.

[Written by MAL Rewrite]","Umineko no Naku Koro ni - Episode 3: Banquet of the Golden Witch was published in English as Umineko When They Cry Episode 3: Banquet of the Golden Witch in two omnibus volumes by Yen Press from January 21, 2014 and April 22, 2014. It was also released digitally from April 22, 2014 to April 29, 2014.",Gangan Joker,"Drama, Horror, Mystery"
12854,Toaru Majutsu no Index,8.37,33804,1882,"Despite 80% of its 2.3 million population being students, Academy City is far more advanced than any other nation worldwide. Its residents awaken something akin to a supernatural ability inside them, which is then ranked from Level 0 to 5. Along the lines lies Touma Kamijou, a powerless Level 0 esper. While his abilities are recognized as useless, he possesses a mysterious phenomenon known as ""Imagine Breaker,"" which allows his right hand to nullify any supernatural powers upon coming in contact with them. Despite that, he claims to have rotten luck due to the misfortunes that frequently happen to him.

One day, a girl calling herself Index Librorum Prohibitorum mysteriously lands on Touma's balcony and explains to him that she is being hunted down by magicians. This leads the powerless boy to discover a whole new world—one where magic exists. With Touma facing the problems that arise from both the scientific and magical sides of the world, how will he resolve them?

[Written by MAL Rewrite]","As a series, Toaru Majutsu no Index has appeared numerous times in the Kono Light Novel ga Sugoi! rankings under the best light novel category; 1st in 2011, 2nd in 2012/13, 3rd in 2014, 4th in , 7th in , 3rd in , and 9th in . The series was published in English as A Certain Magical Index by Yen Press under the Yen On imprint from November 18, 2014 to March 24, 2020.",N/A,"Action, Fantasy, Sci-Fi"
22651,The Breaker: New Waves,8.37,97882,4240,"After Yi ""Shioon"" Shi-Woon's master, Goomoonryong, breaks his ki-center, leaving him unable to use his martial arts, he decides to leave the world of Murim and continue on with his normal life: going to school and coming home to his mother every day. However, Murim has other ideas.

Discovered as the only true disciple of Goomoonryong and entrusted with the Phoenix Medallion of the Sunwoo Clan by Lady Sosul—making him the interim leader of the Sunwoo Clan—the world of Murim is not so eager to let Shioon leave. With his new status, enemies Shioon has never encountered before keep appearing before him, such as the organization known as Soldiers Under Command. They are intent on getting rid of him for the sake of their own prosperity, but how will Shioon defend himself without his ki-center intact?

[Written by MAL Rewrite]",The Breaker: New Waves has been published in Polish by Yumegari since February 2016.,Daum Webtoon,"Action, Comedy, Drama, Romance"
87953,Shousetsu Akatsuki no Yona: Onaji Tsuki no Shita de,8.37,13686,339,"The novel is divided into three segments: Jae-Ha's Counseling Room – Part 1, Under the Same Moon – Parts 1-5, and Jae-Ha's Counseling Room – Part 2.

When listening to a nostalgic voice in the crowd of people, Soo-Won looked back without thinking. However, it was not the girl of his memory...

(Source: MU)",,N/A,"Adventure, Romance"
93516,SQ: Begin W/Your Name!,8.37,68354,2451,"Sun Jing has a massive crush on a girl she sees at the bus station—feminine, blonde, and absolutely adorable, Qiu Tong is everything Sun Jing desires. But the tomboyish, outgoing Sun Jing cannot bring herself to utter a single word in Qiu Tong's presence. Once she musters up the courage, however, Sun Jing successfully introduces herself and secures a friendship with the cute girl. Although they are only friends for now, Sun Jing will do anything to see Qiu Tong smile; and with her genuine kindness, she might just win Qiu Tong's heart.

[Written by MAL Rewrite]

Note: this entry is for the published volume and not the ongoing webcomic. Please, do not submit any changes.",,N/A,"Comedy, Girls Love, Slice of Life"
1414,SKET Dance,8.37,35689,1500,"Kaimei High School is full of eccentric individuals, students, and teachers alike. Amongst the school's many clubs is the SKET Brigade, officially known as the Living Assistance Club. Comprised of the somewhat idiotic Yuusuke ""Bossun"" Fujisaki, the gallant Hime ""Himeko"" Onizuka, and the silent but surprisingly popular Kazuyoshi ""Switch"" Usui, the SKET Brigade is dedicated to solving various problems on campus. However, the club rarely receives requests, so the members spend most of their time messing around with random, trivial matters. Both hilarious and heartwarming, SKET Dance is a lighthearted comedy following the daily high school lives of an odd trio of friends.

[Written by MAL Rewrite]",SKET Dance won the 55th Shogakukan Manga Award for best shounen manga in 2009.,Shounen Jump (Weekly),"Award Winning, Comedy, Drama"
768,Gunnm,8.37,91391,4871,"The utopian metropolis of Zalem soars high in the skies, its presence dominating the horizon. Beneath it is the noxious underbelly known as The Scrapyard, where the city stockpiles all of its waste. Living amongst the vast heaps of garbage are humans and cyborgs, surviving by any means necessary.

Daisuke Ido, a doctor specializing in cyborg repairs, finds the head of a young female cyborg while scavenging a pile of old android parts. Proceeding to build her a new body, he names her Gally. Upon activation, Gally does not seem to remember anything about her past life. Nonetheless, she does not seem to mind as long as she stays by Ido’s side.

However, she soon discovers that Ido has a side job as a hunter-warrior, a bounty hunter working for The Scrapyard’s government. Despite Ido’s warning, she decides to become one herself, awakening her forgotten knowledge of fighting techniques. Equipped with newfound strength, Gally is determined to fight through the alleys of The Scrapyard and beyond, retrieving fragments from her past to rediscover her true identity.

[Written by MAL Rewrite]","Gunnm was published in English as Battle Angel Alita by VIZ Media in comic book format, with 68 VIZ Select Comics issues split into eight parts from July 1992 to March 1998. It was republished under the VIZ Graphic Novels imprint from July 6, 1995, to December 6, 1998, and again under the VIZ Action imprint from December 31, 2003, to March 1, 2005. Kodansha Comics took over the license and released the series digitally from May 26, 2017, to July 31, 2018. The series was also published in Brazilian Portuguese by Editora JBC; in French by Glénat; in German by Carlsen Verlag; in Spanish by Planeta DeAgostini; in Italian by Panini Comics; in Dutch by Glénat Benelux; and in Polish by Japonica Polonica Fantastica. Oscar winning director James Cameron was introduced to Gunnm by fellow director Guillermo del Toro, and subsequently purchased the rights to a live-action film adaptation in 2000. Production was halted numerous times due to Cameron's commitment to other projects, until October 2015, when Cameron handed over the director position to Robert Rodriguez. The film premiered on February 14, 2019.",Business Jump,"Action, Sci-Fi"
141833,Hikaru ga Shinda Natsu,8.37,67060,3006,"Best friends Yoshiki and Hikaru have been stuck together like glue for most of their lives. Living in a small village and being the only children their age, the two boys find solace in each other's company. Their friendship seems picturesque at first glance, but Yoshiki has noticed a shift in Hikaru's demeanor ever since one fateful summer.

The ""Hikaru"" that sits beside him now is nothing like his friend. Despite his physical appearance and memories remaining exactly the same, Yoshiki knows something is amiss and that the Hikaru he once knew is gone. When he brings this up, Hikaru partially transforms into an otherworldly being, threatening to kill Yoshiki if he cannot accept it—while also professing its love for him.

Wracked with grief and unable to let go of his best friend, Yoshiki struggles to move on with his life as he finds himself getting closer to the new Hikaru. At the same time, strange occurrences begin to plague their village, bringing unsettling chaos.

[Written by MAL Rewrite]","Hikaru ga Shinda Natsu won the Traditional Chinese Global Special Prize at the eighth Tsugi ni Kuru Manga Awards in 2022. It ranked first in the 2023 Kono Manga ga Sugoi! for the Male Readers division. In the same year, the manga was nominated for the 16th Manga Taisho Award and placed 11th in the final ranking. The series has been published in English as The Summer Hikaru Died by Yen Press since July 18, 2023. It has also been released in German by Altraverse since January 23, 2023; in Italian by J-POP since June 28, 2023; in Spanish by Milky Way Ediciones since March 3, 2022; and in Portuguese by Editorial Presença since August 20, 2025.",Young Ace UP,"Horror, Mystery, Supernatural"
401,Kiseijuu,8.37,110904,4609,"""Parasites"" are tennis ball sized creatures, whose numbers and origins are unknown. They invade and take over the human mind in order to survive. Shinichi Izumi is a 16-year-old high school student who lives with his parents in a quiet neighborhood. One night, a Parasite invades Shinichi's body in an attempt to take control of it. However, it fails to complete the takeover process and ultimately ends up inhabiting only his right arm. 

Thus, both Shinichi and the Parasite—who calls himself Migi—retain their individual minds. Now in a peculiar ""human and alien"" relationship, Migi proposes that they cooperate to survive. Shinichi has no choice but to agree, and he must now cling to his morality as he and Migi face off against other bloodthirsty Parasites.

[Written by MAL Rewrite]","Kiseijuu won the 17th Kodansha Manga Award for Best General Manga in 1993. In 2003, it was reprinted in a eight volume complete version format; in 2014, in a new edition format, and complete version in a bunko format. The manga was adapted into two live-action movies which released on November 29, 2014 and April 25, 2015, respectively. A spin-off live-action series titled Parasyte: The Grey was released on Netflix in 2024. The series was first published in English as Parasyte by Tokyopop, ran in their manga anthology magazine Mixxzine and had a 12 volume release from June 23, 1998 to November 19, 2002. Del Rey Manga republished the series based on the eight volume reprint from May 1, 2007 to July 28, 2009. Kodansha Comics USA later reprinted the Del Rey release from July 26, 2011 to August 21, 2012. It has been published in Spanish by Planeta Comic and was published in Brazilian Portuguese by Jbc from September 2015 to June 2016. The manga was also published in Italian by Magic Press from October 3, 1998 to August 30, 2004 before release was discontinued. RW Edizioni picked up the license and published the manga based on the eight volume reprint under the GOEN imprint from December 6, 2014 to January 30, 2016.",Afternoon,"Action, Award Winning, Horror, Sci-Fi"
106,Cardcaptor Sakura,8.37,69618,4036,"""Herein lie the Clow Cards—if their seal is broken, disaster shall befall this world...""

Sakura Kinomoto is an energetic and sweet 10-year-old girl attending Tomoeda Elementary School. One day not long after entering the fourth grade, Sakura finds a mysterious book titled The Clow hidden within her father's bookshelves. Upon opening it, a small, winged creature with an Osakan accent comes out of the book and introduces itself as Keroberos, the Creature of the Seal who guards magical cards known as the Clow Cards and keeps them from escaping the book.

Unfortunately for the plushy guardian, it seems that the Clow Cards have already escaped—and now Sakura is tasked with capturing them before the cards unleash their powers and cause havoc all over Tomoeda! With the support of the tiny guardian who she nicknames ""Kero"" and her best friend, Tomoyo Daidouji, Sakura must wield a magical bird-shaped key and use her new powers as the Cardcaptor to maintain peace and ensure that everything is alright.

[Written by MAL Rewrite]","Cardcaptor Sakura won the 32nd Seiun Award for Best Manga in 2001. The series was published in English by Tokyopop from March 1, 2001, to August 5, 2003, and in 3-in-1 omnibus volumes by Dark Horse Comics from October 20, 2010, to September 19, 2012. Tokyopop's release split the manga into two six-volume series, the second of which is titled Cardcaptor Sakura: Master of the Clow. The series was published in Spain by Ediciones Glénat; in French by Pika Édition; in Italian by Edizioni Star Comics; in German by Egmont Manga; and in Brazilian Portuguese by Editora JBC. The series was adapted into multiple video games, audio CDs, and artbooks.",Nakayoshi,"Adventure, Award Winning, Comedy, Fantasy, Romance"
2921,Kaichou wa Maid-sama!,8.37,173037,9452,"Seika High School was an all-boys school, but it has since turned co-ed. Misaki Ayuzawa is the first female student council president of the school, eventually earning the nickname of the ""Demon President"" due to her mastery of Aikido and imposed iron rule.

However, Misaki harbors an embarrassing secret—she has to work at a maid café to support her family. If anybody from her school was to find out, her reputation would be utterly destroyed. And after Takumi Usui—the most popular boy at school—discovers her secret, that might just happen. Kaichou wa Maid-sama! follows their story as they spend more time together and eventually begin to understand each other's secrets.

[Written by MAL Rewrite]

Included one-shot:
Volume 1: Toumei na Sekai (Transparent World)","Kaichou wa Maid-sama! won the 31st Hakusensha Athena Newcomers' Awards in 2006 and received a drama CD adaptation. The manga was first published in English by Tokyopop as Maid Sama! with 8 volumes released from April 7, 2009, to March 1, 2011 before publication was discontinued. VIZ Media re-published the series under the Shojo Beat imprint in 2-in-1 omnibuses from August 4, 2015, to August 1, 2017. The series has also been published in Spanish by Ivrea since September 2015 and in Polish by Japonica Polonica Fantastica since November 2013.",LaLa,"Comedy, Romance"
85,Azumanga Daioh,8.37,60302,3766,"Chiyo Mihama is a child prodigy who has skipped several grades to end up in high school. On her first day, she discovers that her class is full of eccentric individuals. Sakaki, who towers over Chiyo, is aloof and intimidating; Tomo Takino is loud and annoying; Ayumu ""Osaka"" Kasuga is absentminded but great at solving riddles; Koyomi ""Yomi"" Mizuhara is obsessed with diets and loves karaoke despite her awful singing; and Kagura, who is a competitive tomboy.

As the classmates become good friends over time, they experience their everyday lives together—things like school, studying, going on summer trips, and engaging in all kinds of shenanigans!

[Written by MAL Rewrite]","Azumanga Daioh was published in English by ADV Manga from September 16, 2003, to April 6, 2004, and in a complete omnibus on November 20, 2007. Yen Press republished the series as a complete omnibus with new translations on December 15, 2009. It was also released in Brazilian Portuguese by NewPOP Editora from July 2014 to May 2015.",Dengeki Daioh,"Comedy, Slice of Life"
110160,"Mata, Onaji Yume wo Miteita",8.37,26703,888,"Elementary school student Nanoka Koyanagi considers herself weird. She often uses it as an excuse to avoid doing things she dislikes, such as participating in her physical education class or getting along with her classmates. Out of concern and good will, her teacher assigns her to find the meaning of ""happiness.""

While Nanoka thinks about her homework, she often meets Abazure-san, a cheerful lady who helps her save a cat. Nanoka also pays regular visits to Obaa-chan, an old woman spending her twilight years in the woods. One day, Nanoka gets lost in the forest and stumbles across a high school girl named Minami committing self harm. As Nanoka gets closer to these three unique individuals, their stories and experiences shape for her a pathway toward soul-searching and self-discovery.

[Written by MAL Rewrite]","Mata, Onaji Yume wo Miteita was published in English as I Had That Same Dream Again in a single omnibus volume by Seven Seas Entertainment on July 7, 2020. It was also released in Spanish by ECC Ediciones as a single omnibus volume on March 29, 2022.",Monthly Action,Drama
